,query_id,prediction,answer,validated_answers,f1,exact_match
0,2c7c93f6-69ed-47cc-a5af-94a00c185a26,Houston Texans,Raiders,Raiders<sv>Raiders<sv>Raiders<sv>the Raiders<sv>the Raiders,0.0,0.0
1,ae75262b-f7d5-466f-a24b-e1ee32b20e02,Cincinnati,Bengals,Bengals<sv>Cowboys,0.0,0.0
2,2231ec20-d9de-44f5-8923-82f9acedc78e,Green Bay,Washington,Redskins<sv>Redskins,0.0,0.0
3,efabf8d7-b400-445d-9194-ad163c53b7fb,Aldrick Robinson,Calvin Johnson,John Potter<sv>John Potter,0.0,0.0
4,27904f61-76f3-4157-9ff6-6176894ed9b8,Grossman,Jon Kitna,Kitna<sv>Kitna,0.0,0.0
5,9ea6e8ae-b36a-4b2e-9fee-5114fe3a4093,began a new stage in which they scattered even further,a museum for the remembrance,started the Museo<sv>a museum,0.0,0.0
6,602e3b17-9b42-4fe4-968c-2c11fc26807e,Veracruz port,Chemulpo,Veracruz,0.67,0.0
7,e48ea0f6-ca09-4448-aad5-1d5ff4035744,women and children <ss> women and children,women and children,women and children,0.86,0.0
8,c38c4097-07c4-43a1-9612-460c333860a1,the Parliament,Charles V,Charles V<sv>the Emperor<sv>Charles V<sv>Charles V,0.0,0.0
9,7a21b6e3-3273-48c9-afc9-b5a968104828,in the town,Pamplona,Pamplona<sv>Pamplona,0.0,0.0
10,ba507d2f-895e-4227-b78f-e7268854a71f,matches,kilogram of camote,a kilogram of camote<sv>a kilogram of camote<sv>kilogram of Camote,0.0,0.0
11,2a73d828-3261-44f3-8478-b1d95eb7833a,"5, 10 and 50",50,50<sv>50,0.4,0.0
12,a9d4c05c-d2d0-4c0e-9fba-72610a519757,50 centavos,"1,000 Pesos",1000<sv>1000,0.0,0.0
13,81d1686a-e380-44ed-a796-cafb13e12eef,1945,a kilogram of camote,kilogram of camote<sv>kilogram of camote,0.0,0.0
14,a4f5dd52-e312-4730-a248-223a9cf5a76b,Patriots,Bengals,Cincinnati<sv>Bengals<sv>Bengals<sv>Bengals,0.0,0.0
15,a5a47d9f-e175-485c-8cc2-b0665e05ec53,officers,non-commissioned officers,non-commissioned officers<sv>non-commissioned officers<sv>non-commissioned officers<sv>non-commissioned officers,0.5,0.0
16,1fce4494-2021-4e52-892c-d80c0a015844,Cowboys,Seahawks,Seahawks<sv>Seahawks,0.0,0.0
17,6ba5d71a-9af3-4577-8278-2b006dc0a27e,The injury ended his career,Lockette had a broken neck.,Lockette had a broken neck<sv>Lockette had a broken neck<sv>Lockette had a broken neck,0.0,0.0
18,abbaba06-a5d5-4b99-b797-010d958a303b,Lockette was hit,The injury ended his career.,The injury ended his career<sv>The injury ended his career<sv>The injury ended his career<sv>The injury ended his career,0.0,0.0
19,5c49f407-16c3-4b81-adc5-ecfccd8f2dad,eight-minute play stoppage,eight-minute,eight-minute<sv>eight-minute,0.67,0.0
20,a996e705-6b9f-4c31-9500-1bf4cd097624,Dallas,the Cowboys,Cowboys<sv>Cowboys,0.0,0.0
21,e3eb0cfa-cc28-4a20-a307-1949ed6a2320,Jay Cutler,Brandon Marshall,Brandon Marshall<sv>Brandon Marshall,0.0,0.0
22,003aa246-5f52-4917-8646-ab140934a2ae,Johnny Knox,Michael Turner,Michael Turner<sv>Michael Turner<sv>Michael Turner<sv>Michael Turner,0.0,0.0
23,cdc92052-3bff-4499-b7f1-21908e369cd4,Jay Cutler,Cutler,Cutler<sv>Cutler,0.67,0.0
24,89fe8219-b100-4200-beff-e803747f2eb4,Art Euphoric,Trescott Street Gallery,Trescott Street Gallery<sv>Trescott Street Gallery<sv>Trescott Street Gallery,0.0,0.0
